fid,auc,go,caption,prot,text,class
15110,0.6520000100135803,organic substance biosynthetic process,nucleus · transcription · nuclear · chromat · actin · DNA-binding,True,False,protein-only
15210,0.6729999780654907,regulation of RNA metabolic process,nucleus · nuclear · transcription · chromat · develop · DNA-binding,True,False,protein-only
15258,0.7160000205039978,regulation of RNA metabolic process,zinc-finger · nucleus · nuclear · transcription · chromat · ubiquitin,True,True,co-firing
15306,0.75,catalytic activity,transferase,True,False,protein-only
15455,0.6510000228881836,organic substance biosynthetic process,redox · polymerase,True,True,co-firing
15901,0.7419999837875366,catalytic activity,metabolism · transferase · mitochondrion · redox,True,False,protein-only
16060,0.6600000262260437,nucleic acid binding,nucleus · nuclear · transcription · chromat · DNA-binding · polymerase,True,False,protein-only
16083,0.7350000143051147,signal transduction,receptor · extracellular · neuron · synap,True,False,protein-only
16302,0.7509999871253967,nucleic acid binding,chromat · polymerase,True,True,co-firing
16346,0.6629999876022339,catalytic activity,lipid,True,False,protein-only
16757,0.7490000128746033,catalytic activity,phosphatase,True,False,protein-only
16758,0.7120000123977661,signal transduction,kinase · phosphatase,True,True,co-firing
16811,0.6669999957084656,nucleic acid binding,channel · metabolism · lipid · proton,True,False,protein-only
16852,0.6549999713897705,catalytic activity,chromat · DNA-binding · polymerase,True,False,protein-only
16888,0.7379999756813049,catalytic activity,transferase,True,False,protein-only
17003,0.6769999861717224,nucleic acid binding,transcription · chromat,True,False,protein-only
17121,0.6700000166893005,membrane,extracellular · transport · lipid · neuron · proton,True,False,protein-only
17239,0.6589999794960022,biosynthetic process,metabolism · redox · proton · reductase,True,False,protein-only
17278,0.6639999747276306,plasma membrane,extracellular · receptor · adhesion · neuron · synap · junction,True,True,co-firing
17319,0.6759999990463257,catalytic activity,metabolism · transport · lipid,True,True,co-firing
17397,0.7269999980926514,catalytic activity,transferase · mitochondrion,True,False,protein-only
17419,0.7170000076293945,cellular biosynthetic process,channel · metabolism,True,False,protein-only
17569,0.7350000143051147,catalytic activity,kinase · phosphatase · cytoskeleton,True,False,protein-only
17577,0.6679999828338623,catalytic activity,RNA-binding,True,False,protein-only
18125,0.6759999990463257,organic substance biosynthetic process,kinase · phosphatase,True,False,protein-only
18157,0.7649999856948853,catalytic activity,transferase,True,True,co-firing
18189,0.7049999833106995,catalytic activity,kinase,True,False,protein-only
18357,0.6679999828338623,signal transduction,extracellular · receptor · secret · kinase · adhesion · immune,True,False,protein-only
18387,0.7110000252723694,nucleic acid binding,nucleus · nuclear · transcription · polymerase · DNA-binding · develop,True,False,protein-only
18450,0.7379999756813049,catalytic activity,redox · proton,True,True,co-firing
18481,0.6629999876022339,catalytic activity,kinase · phosphatase,True,False,protein-only
18523,0.7300000190734863,plasma membrane,extracellular · receptor · adhesion · neuron · develop · synap,True,False,protein-only
18771,0.6729999780654907,catalytic activity,kinase,True,False,protein-only
18801,0.7110000252723694,catalytic activity,kinase · phosphatase,True,False,protein-only
18897,0.7020000219345093,cellular biosynthetic process,phosphatase · channel · metabolism · transferase · atpase,True,False,protein-only
19224,0.7129999995231628,organonitrogen compound metabolic process,kinase · phosphatase,True,False,protein-only
19353,0.7239999771118164,catalytic activity,phosphatase · extracellular · neuron · synap,True,False,protein-only
