feature,go_term,held_auc,raw_best,rand_best,margin,coherence,reasoning_caption
18801,kinase activity,0.777,0.842,0.864,-0.087,0.0,kinase · phosphatase
18387,transcription regulator activity,0.776,0.781,0.81,-0.034,0.4,nucleus · nuclear · transcription · polymerase · DNA-binding · develop
23938,oxidoreductase activity,0.776,0.838,0.841,-0.066,0.0,
25513,transcription regulator activity,0.776,0.781,0.81,-0.034,0.1,nuclear · nucleus · transcription · develop · chromat · polymerase
26135,transcription regulator activity,0.776,0.781,0.81,-0.034,0.1,nucleus · nuclear · transcription · chromat · polymerase · zinc-finger
31832,kinase activity,0.776,0.842,0.864,-0.088,0.1,
427,oxidoreductase activity,0.775,0.838,0.841,-0.066,0.0,
9946,kinase activity,0.775,0.842,0.864,-0.089,0.0,
12291,transmembrane transporter activity,0.775,0.757,0.811,-0.036,0.7,transport · lipid · channel · metabolism · electron · endoplasmic reticulum
23703,oxidoreductase activity,0.775,0.838,0.841,-0.066,0.0,
24307,kinase activity,0.775,0.842,0.864,-0.089,0.15,
29950,transcription regulator activity,0.775,0.781,0.81,-0.035,0.0,extracellular · secret · immune
3192,hydrolase activity,0.774,0.738,0.755,0.019,0.0,gtpase · cytoskeleton
4599,kinase activity,0.774,0.842,0.864,-0.09,0.0,
5385,transmembrane transporter activity,0.774,0.757,0.811,-0.036,0.1,transport · extracellular · lipid · metabolism · proton
8772,kinase activity,0.774,0.842,0.864,-0.09,0.0,
9710,hydrolase activity,0.774,0.738,0.755,0.019,0.05,metabolism · phosphatase · redox
11285,transcription regulator activity,0.774,0.781,0.81,-0.036,0.05,nucleus · nuclear · transcription · chromat · polymerase · zinc-finger
12962,hydrolase activity,0.774,0.738,0.755,0.019,0.35,
20972,transcription regulator activity,0.774,0.781,0.81,-0.037,0.3,
34009,transcription regulator activity,0.774,0.781,0.81,-0.036,0.2,nucleus · transcription · nuclear · chromat · develop · polymerase
1935,kinase activity,0.773,0.842,0.864,-0.091,0.0,
24218,transcription regulator activity,0.773,0.781,0.81,-0.037,0.3,
29035,transcription regulator activity,0.773,0.781,0.81,-0.037,0.05,
29756,transcription regulator activity,0.773,0.781,0.81,-0.037,0.15,
30124,kinase activity,0.773,0.842,0.864,-0.091,0.0,kinase
28462,kinase activity,0.772,0.842,0.864,-0.092,0.0,develop
