feature_id,go_term_protein,go_auc_protein,xmodal_caption,band_class,log_frequency,max_activation
31891,plasma membrane,0.729,extracellular · transport · lipid · proton · neuron,protein-heavy,-2.3733094,1.8490107
33127,regulation of RNA metabolic process,0.729,nucleus · nuclear · transcription · chromat · polymerase · DNA-binding,protein-heavy,-1.7404283,0.9420307
32216,catalytic activity,0.729,zinc-finger · gtpase,protein-heavy,-1.5364037,0.9079842
40545,catalytic activity,0.728,transferase · redox,protein-heavy,-1.7573609,1.2129933
10465,catalytic activity,0.728,phosphatase · mitochondrion,protein-heavy,-1.617673,1.987073
23351,catalytic activity,0.728,channel · metabolism · lipid · endoplasmic reticulum,protein-heavy,-1.587845,0.9862867
8381,catalytic activity,0.727,kinase · phosphatase,protein-heavy,-2.539719,1.6399342
17397,catalytic activity,0.727,transferase · mitochondrion,protein-heavy,-1.5578194,1.0001094
34285,catalytic activity,0.727,kinase,protein-heavy,-2.764872,2.1996026
8581,nucleic acid binding,0.727,nucleus · transcription · nuclear · DNA-binding · chromat · polymerase,protein-heavy,-2.7313895,4.67321
39274,catalytic activity,0.725,transport · develop · electron,protein-heavy,-2.8333144,2.2816334
28865,catalytic activity,0.725,channel · redox,protein-heavy,-1.419015,0.77935624
19353,catalytic activity,0.724,phosphatase · extracellular · neuron · synap,protein-heavy,-3.1035304,2.603146
1679,catalytic activity,0.724,transferase · redox,protein-heavy,-2.0925128,0.9701389
4102,catalytic activity,0.724,metabolism,protein-heavy,-2.1141362,0.9595458
7617,catalytic activity,0.723,phosphatase · translation,protein-heavy,-1.5975205,1.156689
28314,catalytic activity,0.722,transferase · develop · translation · ribosom,protein-heavy,-1.5953916,1.0388751
8844,regulation of nucleobase-containing compound metabolic process,0.721,nucleus · nuclear · transcription · chromat · develop,protein-heavy,-2.740991,2.5046403
6156,catalytic activity,0.721,metabolism · channel · transferase · reductase · redox,protein-heavy,-2.2136111,1.2214478
36535,regulation of RNA metabolic process,0.72,nucleus · nuclear · transcription · chromat · polymerase · DNA-binding,protein-heavy,-2.2438443,1.3549525
30739,catalytic activity,0.719,transport · lipid · develop · proton,protein-heavy,-1.7627345,0.98846936
12291,catalytic activity,0.719,transport · lipid · channel · metabolism · electron · endoplasmic reticulum,protein-heavy,-2.3491635,1.4232216
23547,catalytic activity,0.717,channel · phosphatase · transferase,protein-heavy,-1.7122276,1.3498124
17419,cellular biosynthetic process,0.717,channel · metabolism,protein-heavy,-1.061457,9.39549
39450,negative regulation of cellular process,0.716,nucleus · nuclear · transcription · kinase · phosphatase · chromat,protein-heavy,-2.1878016,2.030283
6118,catalytic activity,0.716,redox,protein-heavy,-2.109061,1.4301982
15258,regulation of RNA metabolic process,0.716,zinc-finger · nucleus · nuclear · transcription · chromat · ubiquitin,protein-heavy,-2.3323765,4.6502733
10921,catalytic activity,0.716,metabolism · channel · phosphatase · transferase · redox · mitochondrion,protein-heavy,-2.3609397,1.8233571
5972,catalytic activity,0.715,channel · transport,protein-heavy,-2.5592482,0.6372712
22127,nucleic acid binding,0.714,nucleus · nuclear · transcription · chromat · polymerase · DNA-binding,protein-heavy,-1.7870001,1.0725597
32695,catalytic activity,0.714,polymerase,protein-heavy,-1.8197801,1.4516109
6984,catalytic activity,0.713,channel · atpase,protein-heavy,-1.9594755,1.0974112
19224,organonitrogen compound metabolic process,0.713,kinase · phosphatase,protein-heavy,-2.383934,1.4167149
16758,signal transduction,0.712,kinase · phosphatase,protein-heavy,-3.2576535,0.8419324
24222,catalytic activity,0.712,develop · neuron · DNA-binding,protein-heavy,-2.3303754,1.7679145
5661,catalytic activity,0.711,zinc-finger · ubiquitin,protein-heavy,-2.8438687,1.7905529
18801,catalytic activity,0.711,kinase · phosphatase,protein-heavy,-2.046099,1.3989766
18387,nucleic acid binding,0.711,nucleus · nuclear · transcription · polymerase · DNA-binding · develop,protein-heavy,-3.062551,1.9590901
3230,catalytic activity,0.711,ubiquitin,protein-heavy,-1.2593703,0.86207014
35981,catalytic activity,0.71,metabolism · phosphatase · transferase · redox · ribosom,protein-heavy,-2.211371,1.3011986
22361,catalytic activity,0.71,develop,protein-heavy,-2.08958,1.3638278
24168,catalytic activity,0.709,channel · metabolism · lipid · endoplasmic reticulum · electron · redox,protein-heavy,-1.6285735,1.5661917
26913,catalytic activity,0.708,kinase,protein-heavy,-1.3744634,0.94131935
22648,catalytic activity,0.708,chromat · DNA-binding,protein-heavy,-2.2270844,1.6881509
36021,catalytic activity,0.707,metabolism · phosphatase · transferase · mitochondrion,protein-heavy,-2.4456403,1.9502771
21208,signal transduction,0.707,receptor · extracellular · neuron · cytoskeleton · synap · junction,protein-heavy,-2.1334643,1.2766007
20591,catalytic activity,0.706,ubiquitin,protein-heavy,-3.3475194,2.5178394
33662,protein metabolic process,0.706,cytoskeleton · ubiquitin · gtpase,protein-heavy,-2.1359148,1.4123337
32409,catalytic activity,0.706,neuron · atpase,protein-heavy,-2.2607605,1.2476043
18189,catalytic activity,0.705,kinase,protein-heavy,-2.847701,10.606026
36044,catalytic activity,0.704,atpase,protein-heavy,-3.1857748,3.6609945
22910,regulation of gene expression,0.704,nucleus · nuclear · transcription · chromat · develop · DNA-binding,protein-heavy,-3.2172058,1.2415632
1483,regulation of nucleobase-containing compound metabolic process,0.703,nucleus · actin · kinase · cytoskeleton · develop · chromat,protein-heavy,-2.2097466,1.6080786
4041,cell periphery,0.703,extracellular · receptor · neuron · synap · junction · adhesion,protein-heavy,-1.251286,2.3858342
18897,cellular biosynthetic process,0.702,phosphatase · channel · metabolism · transferase · atpase,protein-heavy,-2.826512,2.208767
31452,catalytic activity,0.702,metabolism · transferase · translation · proton,protein-heavy,-1.966083,1.3033848
36189,catalytic activity,0.702,channel · metabolism,protein-heavy,-1.5790802,1.4202133
12842,regulation of nucleobase-containing compound metabolic process,0.701,chromat,protein-heavy,-2.8123527,1.4361014
30124,catalytic activity,0.7,kinase,protein-heavy,-2.3159382,4.434044
11285,nucleic acid binding,0.7,nucleus · nuclear · transcription · chromat · polymerase · zinc-finger,protein-heavy,-1.6696393,1.096297
13821,catalytic activity,0.699,secret · extracellular · neuron,protein-heavy,-1.4590186,1.2996491
2438,catalytic activity,0.699,secret,protein-heavy,-2.1011484,0.7481255
31031,catalytic activity,0.698,phosphatase,protein-heavy,-0.8313658,16.246813
20684,catalytic activity,0.698,chromat,protein-heavy,-2.285003,1.666845
19421,catalytic activity,0.697,metabolism · channel · transferase · redox,protein-heavy,-2.7816906,2.0260098
32227,catalytic activity,0.697,channel · transferase,protein-heavy,-2.4809916,4.0285645
15042,regulation of nucleobase-containing compound metabolic process,0.697,nucleus · transcription · nuclear · chromat · polymerase · develop,protein-heavy,-3.4093955,0.34505123
20456,nucleic acid binding,0.697,chromat · neuron · polymerase · junction,protein-heavy,-1.8498017,1.2950441
31675,catalytic activity,0.697,extracellular,protein-heavy,-1.9402866,1.1027603
11483,catalytic activity,0.696,chromat · ubiquitin · zinc-finger,protein-heavy,-1.9423196,1.0598425
6345,regulation of nucleobase-containing compound metabolic process,0.695,nuclear · transcription · polymerase · develop · chromat,protein-heavy,-1.9828056,1.1884186
3400,catalytic activity,0.695,transport · gtpase,protein-heavy,-1.889653,1.3134536
36943,nucleic acid binding,0.695,nuclear · chromat · develop,protein-heavy,-1.5727351,4.282237
11928,catalytic activity,0.695,atpase,protein-heavy,-1.8779118,1.1072413
23845,cell periphery,0.694,extracellular · receptor · secret · matrix · adhesion · neuron,protein-heavy,-2.8067408,1.9616334
9685,catalytic activity,0.694,kinase · phosphatase,protein-heavy,-1.7800281,1.4408802
9379,catalytic activity,0.694,phosphatase · transferase,protein-heavy,-1.614556,0.8899234
40361,catalytic activity,0.693,metabolism · develop · chromat,protein-heavy,-2.2977388,2.4079342
8591,catalytic activity,0.692,transferase · chromat,protein-heavy,-2.4016888,0.85893744
29061,catalytic activity,0.691,channel · mitochondrion · redox,protein-heavy,-1.7322676,1.1651092
34004,catalytic activity,0.691,cytoskeleton,protein-heavy,-1.4580294,1.2060319
4439,system development,0.691,phosphatase,protein-heavy,-3.6881711,0.73718345
24639,nucleic acid binding,0.691,chromat · polymerase,protein-heavy,-1.7805871,1.6358405
1114,catalytic activity,0.69,channel · transferase,protein-heavy,-2.7475486,1.4535676
2599,catalytic activity,0.689,kinase · phosphatase,protein-heavy,-2.7677224,1.8307537
11784,catalytic activity,0.689,kinase · phosphatase,protein-heavy,-2.0448983,1.2995938
19704,catalytic activity,0.688,phosphatase · develop,protein-heavy,-2.1857204,1.4742368
40708,catalytic activity,0.688,zinc-finger · neuron · ubiquitin,protein-heavy,-1.6621368,0.9354291
30180,catalytic activity,0.688,transport · channel · extracellular · proton,protein-heavy,-1.7560165,2.4544744
34914,protein metabolic process,0.688,cytoskeleton,protein-heavy,-1.9952564,1.1221837
8975,catalytic activity,0.687,cytoskeleton · neuron,protein-heavy,-1.9878949,1.1241164
28981,catalytic activity,0.687,metabolism · reductase · electron,protein-heavy,-2.0364027,1.1112614
39945,protein metabolic process,0.686,receptor · extracellular · secret · matrix · protease,protein-heavy,-1.6265851,2.6290216
24297,nucleic acid binding,0.686,transcription · nucleus · nuclear · chromat · develop · polymerase,protein-heavy,-2.7826974,1.5420852
5385,catalytic activity,0.686,transport · extracellular · lipid · metabolism · proton,protein-heavy,-2.6266248,1.8372506
97,catalytic activity,0.685,metabolism · cytoskeleton,protein-heavy,-2.229501,0.69840753
22224,catalytic activity,0.684,transport · phosphatase · redox · reductase · proton,protein-heavy,-1.9693627,1.263689
34009,nucleic acid binding,0.684,nucleus · transcription · nuclear · chromat · develop · polymerase,protein-heavy,-2.4498012,1.5314074
25644,nucleic acid binding,0.684,cytoskeleton · matrix,protein-heavy,-2.0879412,1.0739448
26135,nucleic acid binding,0.683,nucleus · nuclear · transcription · chromat · polymerase · zinc-finger,protein-heavy,-3.0129347,3.2399595
7362,catalytic activity,0.683,translation · cytoskeleton · gtpase,protein-heavy,-1.8268962,1.3118494
9673,system development,0.683,extracellular · transport,protein-heavy,-3.3974152,1.0782624
28536,catalytic activity,0.682,kinase · phosphatase,protein-heavy,-2.8459013,1.8725802
28917,catalytic activity,0.682,metabolism · channel · transferase · redox · mitochondrion · reductase,protein-heavy,-1.5853044,1.0793127
10521,catalytic activity,0.681,develop · polymerase · DNA-binding,protein-heavy,-3.6588025,3.6135538
3974,catalytic activity,0.681,gtpase,protein-heavy,-1.8626372,1.4993557
6950,regulation of nucleobase-containing compound metabolic process,0.681,cytoskeleton · neuron,protein-heavy,-1.7599088,1.2134062
28357,intracellular non-membrane-bounded organelle,0.68,ubiquitin,protein-heavy,-1.5201057,17.72836
21535,positive regulation of metabolic process,0.68,kinase · phosphatase,protein-heavy,-3.136574,1.6730971
7724,intracellular non-membrane-bounded organelle,0.679,ubiquitin,protein-heavy,-2.7163398,1.2388996
37269,catalytic activity,0.679,phosphatase,protein-heavy,-1.7766052,1.6153028
8712,nucleic acid binding,0.679,chromat · cytoskeleton · develop · polymerase,protein-heavy,-2.2461185,1.5636773
10945,protein metabolic process,0.678,zinc-finger · ubiquitin,protein-heavy,-2.9651916,2.0394473
36169,catalytic activity,0.677,kinase · phosphatase,protein-heavy,-2.2733488,1.4114509
12680,catalytic activity,0.677,nucleus · nuclear · chromat · polymerase · zinc-finger · DNA-binding,protein-heavy,-1.3884313,1.1569514
31208,intracellular non-membrane-bounded organelle,0.677,ubiquitin,protein-heavy,-2.5154793,2.7140129
39483,cellular biosynthetic process,0.677,chaperone · chromat,protein-heavy,-2.2286737,1.934261
17003,nucleic acid binding,0.677,transcription · chromat,protein-heavy,-2.42144,1.3655907
17319,catalytic activity,0.676,metabolism · transport · lipid,protein-heavy,-2.0945485,1.6339417
2533,regulation of nucleobase-containing compound metabolic process,0.676,nucleus · nuclear · transcription · kinase · chromat · develop,protein-heavy,-1.7970281,0.8262285
18125,organic substance biosynthetic process,0.676,kinase · phosphatase,protein-heavy,-2.9898314,2.724804
4,nucleic acid binding,0.676,transcription · chromat,protein-heavy,-1.7230614,0.9344181
22440,catalytic activity,0.675,channel · metabolism,protein-heavy,-1.940207,0.7345345
31303,catalytic activity,0.675,phosphatase,protein-heavy,-1.4994324,1.0945798
31873,regulation of RNA metabolic process,0.674,nucleus · nuclear · transcription · RNA-binding · polymerase · chromat,protein-heavy,-2.812032,4.3488245
10467,negative regulation of cellular process,0.674,nuclear · nucleus · transcription · chromat,protein-heavy,-1.6734622,0.81157434
1397,catalytic activity,0.674,kinase · phosphatase,protein-heavy,-1.8128442,1.1275568
15210,regulation of RNA metabolic process,0.673,nucleus · nuclear · transcription · chromat · develop · DNA-binding,protein-heavy,-1.5780548,1.029373
18771,catalytic activity,0.673,kinase,protein-heavy,-1.638927,1.2954024
785,catalytic activity,0.672,adhesion,protein-heavy,-1.1647984,0.8750134
5943,regulation of RNA metabolic process,0.672,cytoskeleton · translation,protein-heavy,-1.5748752,0.83548564
7474,negative regulation of biological process,0.672,nucleus · nuclear · chromat,protein-heavy,-1.547335,0.91881895
33572,regulation of nucleobase-containing compound metabolic process,0.672,nucleus · nuclear · chromat,protein-heavy,-1.4412973,2.1726825
40149,nucleic acid binding,0.671,nucleus · nuclear · transcription · chromat · DNA-binding · polymerase,protein-heavy,-1.4194955,1.4500595
17121,membrane,0.67,extracellular · transport · lipid · neuron · proton,protein-heavy,-2.3190522,1.4816463
21450,catalytic activity,0.67,chromat · DNA-binding · polymerase,protein-heavy,-2.7838976,1.250177
3489,biosynthetic process,0.669,phosphatase · channel · translation · ribosom,protein-heavy,-2.762508,1.6379658
40087,nucleic acid binding,0.669,nucleus · nuclear · translation · chromat,protein-heavy,-1.8716643,1.0460588
5002,regulation of nucleobase-containing compound metabolic process,0.669,chromat · polymerase · DNA-binding,protein-heavy,-3.765428,0.522046
27142,cell periphery,0.669,extracellular · receptor · adhesion · synap · immune · neuron,protein-heavy,-2.093691,2.8483121
39986,organic substance biosynthetic process,0.668,lipid · matrix · mitochondrion,protein-heavy,-4.972399,0.2027731
7153,catalytic activity,0.668,chromat · DNA-binding · neuron · polymerase,protein-heavy,-1.5782356,1.398882
2119,organic substance biosynthetic process,0.668,metabolism · lipid · channel · endoplasmic reticulum · electron · redox,protein-heavy,-4.9545035,0.62096024
17577,catalytic activity,0.668,RNA-binding,protein-heavy,-1.5048774,9.726651
21380,nucleic acid binding,0.668,kinase · chromat · cytoskeleton,protein-heavy,-2.5862088,0.9370767
18357,signal transduction,0.668,extracellular · receptor · secret · kinase · adhesion · immune,protein-heavy,-1.871623,1.376833
32797,catalytic activity,0.668,phosphatase · atpase,protein-heavy,-1.9341244,1.095911
32555,catalytic activity,0.667,channel · metabolism · transferase,protein-heavy,-1.480273,1.0395377
16811,nucleic acid binding,0.667,channel · metabolism · lipid · proton,protein-heavy,-3.551079,0.56983274
4182,catalytic activity,0.667,ubiquitin,protein-heavy,-1.6055315,1.2799892
21855,catalytic activity,0.666,atpase · chaperone,protein-heavy,-1.5244246,1.1776685
