feature_id,band_class,fusion_class,go_label,go_auc,crossmodal_omega,crossmodal_pair,protein_frac,go_frac,text_frac,activation_freq,mean_activation,max_activation,n_proteins_active
8847,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0021,5.8376,30.2887,157
8835,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.005,3.447,5.2191,296
8845,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0017,3.2546,6.8887,295
8844,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0013,5.5793,15.4413,61
8843,text-heavy,unimodal,none,0.0,0.0,none,0.0022,0.0,0.9978,0.0108,2.9626,5.5919,300
8842,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,1e-04,3.3099,4.4914,27
8839,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.003,2.8316,5.8837,299
8838,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0039,3.6361,6.3991,299
8837,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0011,9.5073,13.5402,300
8836,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0014,7.0374,21.1002,300
8846,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0042,10.6332,37.0574,300
8766,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0041,3.7316,7.6479,216
8767,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,3.7309,4.1462,16
8769,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0054,4.818,17.7808,300
8770,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,1.5909,1.8293,25
8775,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0018,4.5877,21.8535,297
8776,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0054,5.4617,25.6184,300
8778,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0041,5.0121,15.374,300
8779,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0044,5.5329,18.2693,300
8780,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0017,2.6226,8.4965,291
8781,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0198,5.9737,20.2809,300
8782,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,3.434,3.7597,4
8783,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0011,7.7114,10.7752,300
8784,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0025,7.0491,36.722,300
8789,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0016,4.3381,10.1294,244
8790,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0029,6.0212,17.0248,300
8815,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.003,5.478,15.3118,298
8814,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,1.9723,2.3587,8
8813,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0004,8.8295,11.4856,300
8810,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.0605,2.0605,1
8809,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0072,0.9928,0.0199,6.2458,22.5594,300
8808,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,1.7926,2.3614,10
8807,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0002,16.4584,42.8052,89
8806,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0047,4.3776,12.7059,300
8791,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0024,4.6934,14.1771,290
8803,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0013,7.3018,19.2824,132
8802,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,1.8389,1.8389,1
8801,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0018,3.0699,7.77,300
8800,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,1.0716,1.0761,36
8799,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0573,5.4123,21.8815,300
8797,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0043,6.0398,22.6071,271
8796,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.006,4.9074,17.429,298
8792,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0052,2.7151,6.4978,298
8804,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0027,5.12,14.4027,278
9236,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,0.9201,0.9264,15
